Artist,Song,Lyrics
ABBA,Ahe's My Kind Of Girl,"Look at her face, it's a wonderful face   And it means something special to me   Look at the way that she smiles when she sees me   How lucky can one fellow be?      She's just my kind of girl, she makes me feel fine   Who could ever believe that she could be mine?   She's just my kind of girl, without her I'm blue   And if she ever leaves me what could I do, what could I do?      And when we go for a walk in the park   And she holds me and squeezes my hand   We'll go on walking for hours and talking   About all the things that we plan      She's just my kind of girl, she makes me feel fine   Who could ever believe that she could be mine?   She's just my kind of girl, without her I'm blue   And if she ever leaves me what could I do, what could I do?  "
Foo Fighters,Freaks By Live,"If the mother goes to sleep with you   Will you run and tell geraldo   If the mother bears your children without tears   Without the usual costs of labor      If the mother goes to bed with you   Will you run and tell the neighbors   Will you hide behind that get up that you wear   Or will take te first ear that comes into contact with your blade   Like peter did on the hill      Will you call her a freak?   Will you call them freaks?      If the mother goes to bed with you   Will you run and tell the papers   How she picked you from a line up in downtown philadelphia   With a cigarette hangin' out of your mouth and henry miller in your back pocket   You little fucker      If the mother goes to bed with you   In the bowels of the cathedral   Will you render her asunder with what she really needs   Or will you crash that beautiful silence with some talk about   Finding yourself in you mother's arms      Will you call her a freak   Will you call them freaks   Or will you call them gods   Will you call them freaks      You know you sperm is weak   You never looked, so high   To ever find her so low   You did not have to go, that far   To show her you were holy      Now you know they're gonna come for you   And drag your silly name into the mud   If the mother bears your children without tears   And without the usual costs of labor      Will you call her a freak   Will you call them freaks   Or will you call them gods   Will you call them freaks  "
Arrogant Worms,Big Fat Road Manager,"Every rock band has this guy   Not many people really know why   He's got a cell phone and a backstage pass   He's got a big gut and a big fat ass   He's a big fat road manager   Big fat road manager   Big fat road manager   Big fat road manager   He plugs in guitars and microphone jacks (Big fat road manager)   He makes sure the system won't feed back (Big fat road manager)   He yells ""check one"" 'til his face turns blue (Big fat road manager)   Don't you wish he could count to two?   He's a big fat road manager   Big fat road manager   Big fat road manager   Big fat road manager   The contract says there's beer for free (Big fat road manager)   A bottle for you and a case for me (Big fat road manager)   I'll make sure you've a place to stay (Big fat road manager)   Then I'll eat your deli tray   He's a big fat road manager   Big fat road manager   Big fat road manager   Big fat road manager   You may wonder   Why the road manager's so wide   He's the one who blocks the door   When the tax collecter comes by   The tour hits the road, he spends his day (Big fat road manager)   At an all-you-can-eat buffet (Big fat road manager)   But if he can come to terms (Big fat road manager)   He will manage the Arrogant Worms   He's a big fat road manager   Big fat road manager   Big fat road manager   Big fat road manager   Big fat road manager   Big fat road manager   Big fat road manager   Big fat road manager   Big fat road manager   Big fat road manager   Big fat road manager   Big fat road manager   Big fat road manager   Big fat road manager   Is this thing on?    "
Kate Bush,Where Are The Lionhearts,"Destiny took me in her arms and told me:   ""You're a little lost on the fall.   You fall for all the men   You shouldn't fall for all at all. ""   Ooh, I know she knows, but still I go on,   Well, I'm a fool.      Climbing up the ladders   To slide down the adders   On the rocks,   On the rocks,   On the rocks,   On the rocks...      Joan of Arc walks into my mirror,   A burning sword.   I'd like to cry.   I look into her eyes.   I see she's seen the long days and night.   ""Ooh,"" she says,   ""The games are still the same, I see,   But they've changed the names now.   Are all Lionhearts put in parks, apart? ""      Lionhearts in the asylums,   Lionhearts tossed at sea,   Lionhearts who've lived their lives, like Arthur.   Lionhearts in cathedrals,   Lionhearts at mournings,   Lionhearts in every seed   But they're sown   On the rocks,   On the rocks,   On the rocks,   On the rocks...      Somebody I couldn't see   Tied me up and put me away,   Here on the rocks,   Here on the rocks,   Here on the rocks...  "
Michael W. Smith,Forever,"Give thanks to the Lord, Our God and King   His love endures forever   For He is good, He is above all things   His love endures forever   Sing praise, sing praise      With a might hand and outstretched arm   His love endures forever   For the life that's been reborn   His love endures forever   Sing praise, sing praise   Sing praise, sing praise      [Chorus: x 2]   Forever God is faithful   Forever God is strong   Forever God is with us   Forever and ever, forever (2X)      From the rising to the setting sun   His love endures forever   By the grace of God we will carry on   His love endures forever   Sing praise, sing praise   Sing praise, sing praise      [Chorus]      His love endures forever [Repeat: x 8]      Sing praise, sing praise   Sing praise, sing praise      [Chorus]  "
Kanye West,Barry Bonds,"It's what you all been waiting for ain't it?   What people pay paper for damn it, they can't stand it   They want something new, so let's get reacquainted   Became the hood favorite, I can't even explain it, I surprise myself too   Life of a Don, lights keep glowing   Coming in the club with that fresh shit on   With something crazy on my arm   Uh-uh-hum, and here's another hit, Barry Bonds      We outta here baby!      ""Dude!"" Fresh off the plane, ""konichiwa,"" bitches   Turn around another plane, my passport on pivot   Ask for it I did it, that asshole done did it   Talked it then he lived it, spit it then he shit it   I don't need writers, I might bounce ideas   But only I could come up with some shit like this   I done played the underdog my whole career   I've been a very good sport, haven't I, this year   They say ""he going crazy and we seen this before""   But I'm doing pretty good as far as geniuses go   And I'm doing pretty hood in my pink polo   Nigga please, how you gonna say I ain't no Lo-head   Cause my Dior got me more model head   I'm insulted, you should go 'head   And bow so hard until your knees hit your forehead   And the flow just hit code red   Top 5 MCs, you ain't gotta remind me   Top 5 MCs: you gotta rewind me   I'm high up on the line, you could get behind me   But my head's so big you can't sit behind me      Life of a Don, lights keep glowing   Coming in the club with that fresh shit on   With something crazy on my arm   Uh-uh-hum, and here's another hit, Barry Bonds      Yeah, yeah, we outta here baby!   Wha, wha, we outta here baby!   Hey Mr. West we so outta here baby      And me, I'm Mr. Weezy Baby   I'm so bright not shady   My teeth and my ice so white like Shady   Ice in my teeth so refrigerated   I'm so fucking good like I'm sleeping with Megan   I'm all about my Franklins, Lincolns and Reagans   Whenever they make them, I shall hayve them   Oops, I meant ""have them,"" I'm so crazy   But if you play crazy you be sleeping with daisies   I'm such a hay-vic, oops I meant ""havoc""   And my drink's still pinker than the Easter rabbit   And I'm still cole like Keyshia's family   Stove on my waist turn beef to patties   And I ate it cause I'm so avid   I don't front and I don't go backwards   And I don't practice and I don't lack shit   And you can get buried, suck my bat bitch      We outta here baby!      Swag at a hundred and climbin', baby, yeah   Life of a Don, lights keep glowing   Coming in the club with that fresh shit on   With something crazy on my arm   Ha Ha Hum, and here's another hit, Barry Bonds  "
Genesis,Ripples,"Blue girls come in every size   Some are wise and some otherwise   They got pretty blue eyes   For an hour a man may change   For an hour her face looks strange   Looks strange, looks strange      Marching to the promised land   Where the honey flows and takes you by the hand   Pulls you down on your knees   While you're down a pool appears   The face in the water looks up   And she shakes her head as if to say   That it's the last time you'll look like today      Sail away, away   Ripples never come back   Gone to the other side   Sail away, sail away      The face that launched a thousand ships   Is sinking fast, that happens you know   The water gets below   Seems not very long ago   Lovelier she was than any that I know      Angels never know it's time   To close the book and gracefully decline   The song has found a tale   My, what a jealous pool she is   The face in the water looks up   She shakes her head as if to say   That the blue girls have all gone away      Sail away, away   Ripples never come back   They've gone to the other side   Look into the pool   Ripples never come back   Dive to the bottom and go to the top   To see where they have gone   Oh, they've gone to the other side  "
Randy Travis,I'll Fly Away,"Some glad morning when this life is o'er   I'll fly away   To a home on God's celestial shore   I'll fly away.      I'll fly away, oh glory,   I'll fly away   When I die, hallelujah, by and by   I'll fly away.      When the shadows of this life grow have grown   I'll fly away   Like a bird from prison bars has flown   I'll fly away.      I'll fly away, oh glory,   I'll fly away   When I die, hallelujah, by and by   I'll fly away.      Just a few more weary days and then   I'll fly away   To that land where joy shall never end   I'll fly away.      I'll fly away, oh glory,   I'll fly away   When I die, hallelujah, by and by   I'll fly away.      I'll fly away, oh glory,   I'll fly away   When I die, hallelujah, by and by   I'll fly away      When I die, hallelujah, by and by  "
Usher,Just A Friend,I wanna know your name and   And I wanna know if u gotta man   I wanna know   I wanna know everything   I wanna know your number and if I can come over and   I wanna know what u like   I wanna know so I could do it all night   But u tellin' me I'm just a friend   Steding tellin' me I'm just a friend      Ooh baby you   You got what I need   But you say I'm just a friend   But you say I'm just a friend   Ooh baby you   You got what I need   But you say I'm just a friend   But you say I'm just a friend   Ooh baby you      I wanna know you in and out   I wanna know what your all about   I wanna know   I wanna know what makes you laugh   I wanna know about your past   I wanna know how you move   I wanna know so I could move too   I wanna know   But you telling me I'm just a friend   Stop telling me I'm just a friend      Ooh baby you   You got what I need   But you say I'm just a friend   But you say I'm just a friend   Ooh baby you   You got what I need      But you say I'm just a friend   But you say I'm just a friend   Ooh baby you   You got what I need      But you say I'm just a friend   But you sayi'm just a friend   Ooh baby you   You got what I need      But you say I'm just a friend   But you say I'm just a friend   Girl I want you to see   What you mean to me   And I want u to know   That I really need your fortune   And I gotta understand it      I wanna be your man   But why can't u be more than a friend to me   Ooh baby u   You got what I need   But you say I'm just a friend   But you say I'm just a friend   Ooh baby you      You got what I need   But you say I'm just a friend   But you say I'm just a friend   Ooh baby you   You got what I need   You got it      What I like and   You say I'm just a friend   But you say I'm just a friend   Ooh baby you   You got what I need   But you say I'm just a friend   But you say I'm just a friend  
Evanescence,So Close,I've spent so much time   Throwing rocks at your window   That I never even knocked   On your front door      I walk by statues   Never even made one chip away   But if I could leave a mark   On the monument of the heart   I just might lay myself down   For a little more than I had      The last day   The last day   The last day      Wait a time   To spare these lies we tell ourselves   These days have come and gone   But this time is sweeter than honey  
