Artist,Song,Lyrics
ABBA,Ahe's My Kind Of Girl,"Look at her face, it's a wonderful face   And it means something special to me   Look at the way that she smiles when she sees me   How lucky can one fellow be?      She's just my kind of girl, she makes me feel fine   Who could ever believe that she could be mine?   She's just my kind of girl, without her I'm blue   And if she ever leaves me what could I do, what could I do?      And when we go for a walk in the park   And she holds me and squeezes my hand   We'll go on walking for hours and talking   About all the things that we plan      She's just my kind of girl, she makes me feel fine   Who could ever believe that she could be mine?   She's just my kind of girl, without her I'm blue   And if she ever leaves me what could I do, what could I do?  "
Noa,And The River Sang,"Lyrics: Leah Goldberg   Music: Achinoam Nini      Transliteration:      Et ha'even nashakti betsinat chalomah,   Ki ani hamizmor vehi hadmamah,   Ki hi hachidah va'ani hechad,   Ki shneinu koratsnu minetsach echad.      Et ha'even nashakti, et oshrah haboded.   Hi shvuat emunim veani haboged,   Ani hacholef vehi hakayam,   Hi sodot habriah, veani - giluyam,   Vaeda ki nagati belev ne'elam:   Ani hamshorer vehi - ha'olam      Translation:   I kissed the rock in her chilly dream   For she is the silence and I am the scream   She is the riddle and I want to know   Both of us sprung from eternity's bow      I kissed the rock, her lonely crater   She has sworn loyalty, I am the traitor   She is forever, I am just passing through   She's the old secret, I am the new      Her silent heart touched, she helped me to know it:   She is the universe I am the poet  "
Prince,"Beautiful, Loved And Blessed","Wake up   You're beautiful, loved and blessed   Feel me? (I think I do)      When you found me I was just a piece of clay   I was formless, you gave me a new name   With the breath of life I now live abundantly   All I needed was the potter's hand   And the blood on Calvary (that's right)      But to much power (tell it)   Can can sometimes turn to shame   To much desire   Sometimes makes you feel the same (come on)   But forgiveness is how you win the game   I begged for truth, now I know the truth   And that is when you came and said I was      Beautiful, loved and blessed   I'm better than the day before   Cause you made me confess that I am,   Beautiful, loved and blessed   When you're free you're really free indeed   All you gotta do is just plant the seed      A constant battle to stay ahead of the game   Is anybody famous when everybody wants fame?   Always trying to break you down   Thinkin' that'll raise 'em up   I just wanna be happy   Come take this bitter cup from me      If I were ever to write my life story   I could truly say through all the pain and glory   I was just a piece of clay in need of the potter's hand   Cause when you whispered in my ear   The words I so now understand, oh      Beautiful, loved and blessed   I'm better than the day before   Cause you made me confess that I am,   Beautiful, loved and blessed   When you're free you're really free indeed   All you gotta do is just plant the seed      Everything you made you said, ""That's good""   Before the fall of man you said, ""That's good""   Every time I walk in faith, that's good   You let me see another day, that's good   Before the earth was made you said,   ""Tamar, I will lead the way and you'll go far""   Knowledge and understanding   Understanding is good   And when I wake up in the morning   All I hear in my hood is people saying that they're      Beautiful, loved and blessed   When you rescue me from the darkness   And our heart just must confess   Beautiful, loved and blessed   When you're free you're free indeed   All you gotta do is just plant the seed      Hey, hey, hey   Wake up it's a new day   Hey, hey, hey   Wave you're hands in the air and say   Hey, hey, hey   Wake up it's a new day   Hey, hey, hey   Wave you're hands in the air and say      Beautiful, loved and blessed   You rescued me from the darkness in the wilderness   But I am beautiful, loved and blessed   No matter what the challenge   I always pass the test      That's what I am, beautiful   That's what I am, beautiful   I don't mean to put nobody down   Still I must confess that I am   Beautiful, that's what I am   That's what I am   When you wanna give up, don't cause you know   You always got a friend      That's what I am, that's what I am   That's' what I am   Beautiful, beautiful   That's what I am, that's what I am   That's' what I am   Beautiful, beautiful   Oh yeah, oh yeah   Beautiful, beautiful   Beautiful, beautiful  "
Johnny Cash,Abner Brown,"Every town has its town bum   I guess ours had one   Here's a song about him, I remember him fondly   Well his name was Abner Brown   I knew an old drunk named Abner Brown   And nobody knew when he came to town   But he spread good will to his fellow men   And they let him sleep in the cotton gin   He could drink more brew than an army could   But he had more friends and he did more good   Than a lot of fine fancy people in our town   So they tolerated Abner Brown   And all us kids were on his side   'Cause he told us tales till our eyes grew wide   And he made us feel bout ten feet tall   'Cause he had no kids but he claimed us all   And after school and on weekends   You could find me down at the cotton gin   The truest friend that I ever found was   A good old drunk named Abner Brown   Abner Brown, I wish that I could see you once again   I believe that you'd stack up with all the mighty men   I've met and known in all the low   And higher places that I've been   Thinking of you picks me up when I'm feeling down   I thank the Lord for making Abner Brown   Lord take me back to the cotton land   To Arkansas take me home again   Let me be the boy that I once have been   Let me walk that road to the cotton gin   He's probably dead many years ago   And gone the way that old drunks go   But I'd still like to sit me down   Talk to my old friend, Abner Brown   Abner Brown, I wish   I thank the Lord for making Abner Brown    "
Point Of Grace,Without The Love Of Jesus,"Words by robert sterling music by john mandeville   Some think it all comes down to   Fate and circumstance   Life falls somewhere between   Accident and chance   Some seek solutions to the problems   They face   By hoping maybe someday, somehow   It will all fall in place   We keep persisting   Still something is missing   (chorus)   Without the love of jesus   The stars wouldn't shine   Rivers wouldn't run   And hearts beat out of time   Without the love of jesus   Tell me where would we be?   Lost on a lonely sea   Without the love of jesus   There's so much more to life than meets   The naked eye   It's no coincidence, no matter how we try   When we try to deny what we   Don't understand   Maybe that's when we fail to see god's   Providential hand   We keep persisting   Still something is missing   (repeat chorus)   It shouldn't take us a miracle   Before we finally see   That jesus' love is the only thing   That we will ever need   (repeat chorus)    "
Who,Cache Cache,"Did you ever sleep in a bear pit   Did you ever sleep in a bear pit   With apple cores and mice along   With apple cores and mice along?   Did you ever lay on ice and grit   Did you ever lay on ice and grit   Or search for a place where the wind was gone   Or search for a place where the wind was gone?      Did you ever tramp up endless hills   Did you ever tramp up endless hills   Past cozy homes with secret beds   Past cozy homes with secret beds?   Did you ever dream of a suicide pill   Did you ever dream of a suicide pill   And wake up cold to the smell of bread   And wake up cold to the smell of bread?      Well, I have slept there badly twice   Well, I have slept there badly twice   And shared my straw with scratchin' mice   And shared my straw with scratchin' mice   Although you'll find some deep brown hair   Although you'll find some deep brown hair   I'll tell you something for nothing   I'll tell you something for nothing   There ain't no bears in there (cache, cache)   There ain't no bears in there (cache, cache)   Not a single bear in there (cache, cache)   Not a single bear in there (cache, cache)      Did you ever have to make a draw   Did you ever have to make a draw   For a hard wooden bench or a bed of stone   For a hard wooden bench or a bed of stone?   Did you ever jemmy a stable door   Did you ever jemmy a stable door   Or scare the horse to escape the snow   Or scare the horse to escape the snow?      Did you ever invade a neat little yard   Did you ever invade a neat little yard   Wake up the children who hope for ghosts   Wake up the children who hope for ghosts?   Did you ever cause their dogs to bark   Did you ever cause their dogs to bark   Their guests to curse their noisy hosts   Their guests to curse their noisy hosts?      Don't jump in expectin' fun   Don't jump in expectin' fun   Don't swagger in there with your elephant gun   Don't swagger in there with your elephant gun   Don't enter the cage with wavin' chairs   Don't enter the cage with wavin' chairs   'Cause I'll tell you something for nothing   'Cause I'll tell you something for nothing   There ain't no bears in there (cache, cache)   There ain't no bears in there (cache, cache)   Not a single bear in there (cache, cache)   Not a single bear in there (cache, cache)      Did you ever pass the police at work   Did you ever pass the police at work   And hope that they might take you in   And hope that they might take you in?   Did you ever wonder why music hurts   Did you ever wonder why music hurts   When someone plays it aloof to sin   When someone plays it aloof to sin?   Did you ever believe that a smile could cure   Did you ever believe that a smile could cure   A happy face, keep you warm at night   A happy face, keep you warm at night?   Were you ever fooled by laughter's lure   Were you ever fooled by laughter's lure   Only to find that they laughed in spite   Only to find that they laughed in spite?      Did you ever finally find a place   Did you ever finally find a place   A soft warm bed in a room of flowers   A soft warm bed in a room of flowers   And when you finally laid down your face   And when you finally laid down your face   You found you slept for a hundred hours   You found you slept for a hundred hours?   A hundred hours   A hundred hours      There ain't no bears in there (cache, cache)   There ain't no bears in there (cache, cache)  "
Lorde,The Love Club,I'm in a clique but I want out   It's not the same as when I was punched   In the old days there was enough   The card games and ease with the bitter salt of blood   I was in but I want out   My mother's love is choking me   I'm sick of words that hang above my head   What about the kid? It's time the kid got free      Be a part of the love club   Everything will glow for you   You'll get punched for the love club   For the love club      I joined the club and it's all on   There are fights for being my best friend   And the girls get their claws out   There's something about hanging out with the wicked kids   Take the pill make it too ill   The other day I forgot my old address   I'm sitting pretty on the throne   There's nothing more I want   Except to be alone      Be a part of the love club   Everything will glow for you   You'll get punched for the love club   For the love club      Your clothes are soaked and you don't know where to go   So drop your chin and take yourself back home   And roll out your maps and papers   Find out your hiding places again   The only problem that I got with the club   Is how you're severed from the people who watched you grow up   When you're a member go on your great adventure again   They will be waiting at the end      Be a part of the love club   Everything will glow for you   You'll get punched for the love club   For the love club  
Nat King Cole,Straighten Up And Fly Right,"The buzzard took the monkey for a ride in the air   The monkey thought that everything was on the square   The buzzard tried to throw the monkey off his back   The monkey grabbed his neck and said ""now listen, jack""      ""straighten up and fly right""   ""straighten up and fly right""   ""straighten up and fly right""   ""cool down, papa, don't you blow your top.""   ""ain't no use in jivin' ""   ""what's the use in dabbin' ""   ""straighten up and fly right""   ""cool down, papa, don't you blow your top.""      The buzzard told the monkey ""you're chokin' me""   ""release your hold and I'll set you free""   The monkey looked the buzzard right dead in the eye and said   ""your story's fetchin' but it sounds like a lie""      ""straighten up and fly right   Straighten up and do right   Straighten up and fly right   Cool down, papa, don't you blow your top.""      ""straighten up and fly right   Straighten up and do right   Straighten up and fly right   Cool down, papa, don't you blow your top.""  "
Jimmy Buffett,"My Head Hurts, My Feet Stink And I Don't Love Jesus","[Chorus:]   My head hurts, my feet stink, and I don't love Jesus.   It's that kind of mornin',   Really was that kind of night.   Tryin' to tell myself that my   Condition is improvin' and if I don't   Die by Thursday I'll be roarin' Friday night.      Went down to the snake pit,   To drink a little beer.   Listened to the juke box,   Oh, it's comin' in clear.   All of a sudden I wasn't alone   Pickin' country music with old Joe Bones.   Duval Street was rockin',   My eyes they started poppin'!   Because there she sat at the corner of the bar,   As I broke another string on my old guitar.   Someone call a cab.   Lady won't you pay my tab?      [Chorus:]      Got to get a little orange juice,   And a Darvon for my head.   I can't spend all day,   Baby, layin' in bed.   I'm goin' down to Fausto's   To get some chocolate milk.   Can't spend my life in your sheets of silk   I've got to find my way   Crawl out and greet the day.      [Chorus:]  "
Marilyn Manson,Mother Inferior Got Her Gunn,"Goddamn   Goddamn   Goddamn   Goddamn   Goddamn   Goddamn   Goddamn   Goddamn      You spoonfed us on a Saturday morning mouthfuls of maggots and lies   Disguised in your sugary breakfast cereals   The plates you made us clean were filled with your fears   These things have hardened in our soft pink bellies   We are what you have made us   We have grown up watching your television   We are a symptom of your christian America, the biggest Satan of all   This is your world in which we grow,   and we will grow to hate you      Hallelujah mother-fuckers      I eat innocent meat   The housewife I will beat   The pro-life I will kill   What you won't do I will   I bash myself to sleep   What you sow I will reap   I scar myself you see   I wish I wasn't me   I am the little stick   You stir me into shit   I hate therefor I am   Goddamn your righteous hand   Goddamn, oh Lord   Goddamn, oh Lord   Goddamn, oh Lord   Goddamn, oh Lord      Pseudo morals work real well   On the talk shows for the week   Goddamn   But your selective judgment   And goodguy badges   Don't mean a fuck to me   Goddamn      I throw a little fit, I slit my teenage wrist   The most I can learn is in records that you burn   Get Your Gunn, Get Your Gunn   Get Your Gunn, Get Your Gunn      Pseudo morals work real well   On the talk shows for the week   Goddamn   But your selective judgments   And goodguy badges   Don't mean a fuck to me   Goddamn   Pseudo morals work real well   On the talk shows for the week   Goddamn   But your selective judgments   And goodguy badges   Don't mean a fuck to me      Goddamn   God, oh lord   Damn, oh lord   God, oh lord   Damn, oh lord   God, oh lord   Damn, oh lord   God, oh lord   Damn, oh lord   God, oh lord   Damn, oh lord   God, oh lord   I am the VHS   Record me with your fist   You want me to save the world   I'm just a little girl   Goddamn, Goddamn   Goddamn, Goddamn      Pseudo morals work real well   On the talk shows for the week   Goddamn   But your selective judgments   and goodguy badges   Don't mean a fuck to me   Goddamn   Pseudo morals work real well   On the talk shows for the week   Goddamn   But your selective judgments   and goodguy badges   Don't mean a fuck to me   Goddamn      Get Your Gunn, Get Your Gunn   Get Your Gunn, Get Your Gunn, get      God, I'm not going do it, Oh Yes you are! Oh No I'm not!   Yes you are! No I'm not!   Yes you are! No I'm not!   Yes you are! No I'm not!   Yes you are! No I'm not!   Yes you are! No I'm not!   Sound like anybody you know?  "
